Project,Address,Round,Matching Amount
Kula (कुल) Regenerative Commons,0x0c96729ab0256e0d116f1548564b75fe4f343e0b,GG18 (Aug 2023),3219.81677
Kula Earth Regenerative Commons,0x0c96729ab0256e0d116f1548564b75fe4f343e0b,GG19 (Nov 2023),911.239631
Kokonut Network,0x0ea26051f7657d59418da186137141cea90d0652,Alpha (Jan 2023),5850.18
Kokonut Network; Building an Eco-Friendly Perpetual Asset,0x0ea26051f7657d59418da186137141cea90d0652,GG18 (Aug 2023),5681.61696
Kokonut Network; Perpetual Value Ecosystem,0x0ea26051f7657d59418da186137141cea90d0652,GG19 (Nov 2023),2669.0247
Kokonut Network; Building an Eco-Friendly Perpetual Fund,0x0ea26051F7657d59418da186137141CeA90D0652,Beta (May 2023),6438.84197
Kokonut Network: Agriculture + Blockchain + Community,0x0ea26051F7657d59418da186137141CeA90D0652,GR15 (Sep 2022),2914.30927
"A game for realizing desired futures — stopping coal plants, supporting communities, celebrating victories and the futures to come",0x0EFD0B2daB774756c04671B5D909c07F4B61EFB8,GR12 (Dec 2021),78.4707826
"A game for realizing desired futures — stopping coal plants, supporting communities, celebrating victories and the futures to come",0x0EFD0B2daB774756c04671B5D909c07F4B61EFB8,GR13 (Mar 2022),14.6366948
"A game for realizing desired futures — stopping coal plants, supporting communities, celebrating victories and the futures to come",0x0EFD0B2daB774756c04671B5D909c07F4B61EFB8,GR14 (Jun 2022),0.01218495
BETTER,0x0f7272f8873b68b2a2f52685311822d831afc8b4,Alpha (Jan 2023),11089
BETTER,0x0f7272f8873b68b2a2f52685311822d831afc8b4,Beta (May 2023),6940.13917
BETTER,0x0F7272F8873B68b2a2F52685311822D831afC8b4,GR15 (Sep 2022),5984.48146
Elephant in the Room Strategic Climate Solutions,0x0ff1baa6c90480d8627b922a1e81393eb9c7ea08,GG18 (Aug 2023),876.528492
Elephant in the Room Strategic Climate Solutions,0x0ff1baa6c90480d8627b922a1e81393eb9c7ea08,GG19 (Nov 2023),748.066507
Elephant in the Room Strategic Climate Solutions,0x0ff1bAA6c90480d8627B922A1E81393EB9C7eA08,Beta (May 2023),198.577626
Elephant in the Room - Strategic Climate Solutions Campaigns,0x0ff1bAA6c90480d8627B922A1E81393EB9C7eA08,GR12 (Dec 2021),10.9312767
Elephant in the Room - Strategic Climate Solutions Campaigns,0x0ff1bAA6c90480d8627B922A1E81393EB9C7eA08,GR13 (Mar 2022),5816.587
Elephant in the Room - Strategic Climate Solutions Campaigns,0x0ff1bAA6c90480d8627B922A1E81393EB9C7eA08,GR14 (Jun 2022),106.649453
Elephant in the Room - Strategic Climate Solutions Campaigns,0x0ff1bAA6c90480d8627B922A1E81393EB9C7eA08,GR15 (Sep 2022),51.5069461
The Kawagumba village community farm project,0x121028c5a45452f336ad182f4644822d804f2699,GG18 (Aug 2023),2471.00335
The Kawagumba village community farm project,0x121028c5a45452f336ad182f4644822d804f2699,GG19 (Nov 2023),1682.69788
Auto-GPT assistance in Open Electricity DAO,0x12361c6857E16143c3cE7B50ac23E52F19C7C55C,GR14 (Jun 2022),1.42093085
Flambu | Next Generation Sharing Economy,0x12DcF90cBe06Af1ab836f1c17AE2Aa47d2DdE9FE,GR14 (Jun 2022),0.90439044
Alinticoin,0x13ace2eb518ab747c2886e7ef983bb9b540e4fb9,GG18 (Aug 2023),1186.88781
Wild Friends: Play to save wildlife,0x149CeE19BCF7c3d7bFB8b85180168f816a5c42bB,Beta (May 2023),360.89375
ReFi Spring,0x14cb60f6aca2b2a68d975743bacb33f01f587da5,Alpha (Jan 2023),33333.33
Refi Spring 2022,0x14CB60F6Aca2b2A68d975743baCb33F01f587da5,GR14 (Jun 2022),437.013898
Refi Spring 2022,0x14CB60F6Aca2b2A68d975743baCb33F01f587da5,GR15 (Sep 2022),8834.56782
GoodDollar,0x15512f77bfe1d6ac44bee26135978c8d27ba521b,GG18 (Aug 2023),7288.45262
Earth.fm - funding reforestation projects by listening to nature,0x16ceB2E3EbfD3dD87f6b5D500BBD3e335f3d3716,GR13 (Mar 2022),2822.20807
Earth.fm - funding reforestation projects by listening to nature,0x16ceB2E3EbfD3dD87f6b5D500BBD3e335f3d3716,GR14 (Jun 2022),614.008391
Myseelia 🍄,0x16d46098e455A04Cf7F3e43c3b2706614fDbEC85,Beta (May 2023),1121.44887
Regen Knowledge Graph,0x16d46098e455A04Cf7F3e43c3b2706614fDbEC85,GR15 (Sep 2022),2302.99979
Fundación Salva Terra,0x175ee991a52ce577bac0d39b94221a6c835974c3,GG19 (Nov 2023),1004.79661
MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools,0x1848f1a85fcbc349016e63150d1e605c6d7faa0b,GG18 (Aug 2023),1851.04415
MesoReefDAO - Regenerating Reef Conservation with DeSci Web3 tools,0x1848f1a85fcbc349016e63150d1e605c6d7faa0b,GG19 (Nov 2023),1688.48841
The CM Guild,0x18ddbb6e344b11eedff5a49fa0c0f1a03cc1097e,Alpha (Jan 2023),954.06
Decentralized Life Sciences Ecosystem,0x1963A6cc8DEb426AE196a95D9e91aC3dFFfC67cB,GR13 (Mar 2022),2911.32499
Decentralized Life Sciences Ecosystem,0x1963A6cc8DEb426AE196a95D9e91aC3dFFfC67cB,GR14 (Jun 2022),14.835989
